ID,Basin_File,River_File,Basin_Path,River_Path,BOUNDING_BOX_COORDS,Lat,Lon,Area_km2
USA_01047000,USA_01047000_distributed_basin.shp,USA_01047000_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01047000,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/USA_01047000,45.217083333333335/-70.39375/44.77791666666667/-69.94958333333334,44.988700894826295,-70.16148446522105,915.2561743085425
CAN_05DD009,CAN_05DD009_distributed_basin.shp,CAN_05DD009_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05DD009,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05DD009,52.852916666666665/-116.30708333333334/52.52041666666667/-115.51208333333334,52.679894848875996,-115.92929293340258,867.141183706
CAN_02AE001,CAN_02AE001_distributed_basin.shp,CAN_02AE001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02AE001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02AE001,49.39458333333333/-87.84625/48.909583333333345/-87.32791666666667,49.143086010135995,-87.62804543384367,647.4905337219451
CAN_05CK001,CAN_05CK001_distributed_basin.shp,CAN_05CK001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CK001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CK001,51.44791666666666/-111.34625/50.90541666666667/-111.05541666666666,51.16785425252558,-111.2097879693414,710.6654438291099
CAN_01ED005,CAN_01ED005_distributed_basin.shp,CAN_01ED005_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_01ED005,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_01ED005,44.68708333333333/-65.52958333333333/44.30958333333335/-65.12041667,44.47624895634613,-65.3092955504031,725.4305493519986
CAN_08ED001,CAN_08ED001_distributed_basin.shp,CAN_08ED001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08ED001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_08ED001,54.006249999999994/-127.83708333333333/53.65875/-127.20541666666666,53.826932300666556,-127.51235453666958,729.9463959732158
CAN_05CE006,CAN_05CE006_distributed_basin.shp,CAN_05CE006_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CE006,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CE006,51.82625/-114.30958333333332/51.393750000000004/-113.72375,51.57885409470215,-114.04509327184452,752.0008164982542
CAN_05CA002,CAN_05CA002_distributed_basin.shp,CAN_05CA002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CA002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05CA002,52.01708333333333/-115.53041666666667/51.71291666666667/-114.68208333333334,51.85698511423899,-115.13713221441445,820.3795543832734
CAN_07HF002,CAN_07HF002_distributed_basin.shp,CAN_07HF002_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07HF002,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_07HF002,57.83541666666667/-118.37541666666667/57.60541666666668/-117.60458333333335,57.71113073831203,-117.9610847431026,675.5687610307705
CAN_02YJ001,CAN_02YJ001_distributed_basin.shp,CAN_02YJ001_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02YJ001,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_02YJ001,48.90208333333334/-58.44291666666666/48.57625/-57.848750000000024,48.75230546594787,-58.1682522550472,636.6619943713819
CAN_05OJ008,CAN_05OJ008_distributed_basin.shp,CAN_05OJ008_distributed_river.shp,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OJ008,/work/comphyd_lab/data/_to-be-moved/camels-spat-upload/shapefiles/meso-scale/shapes-distributed/CAN_05OJ008,50.727916666666665/-97.57874999999999/50.309583333333336/-97.03375000000001,50.50613807952424,-97.3249332324358,682.5369428467449
